epoch,step,train/auxiliary_loss,"train/auxiliary_loss t=[0.00,0.25)","train/auxiliary_loss t=[0.25,0.50)","train/auxiliary_loss t=[0.50,0.75)","train/auxiliary_loss t=[0.75,1.00)",train/batch_size,train/bb_atom_loss,"train/bb_atom_loss t=[0.00,0.25)","train/bb_atom_loss t=[0.25,0.50)","train/bb_atom_loss t=[0.50,0.75)","train/bb_atom_loss t=[0.75,1.00)",train/dist_mat_loss,"train/dist_mat_loss t=[0.00,0.25)","train/dist_mat_loss t=[0.25,0.50)","train/dist_mat_loss t=[0.50,0.75)","train/dist_mat_loss t=[0.75,1.00)",train/epoch_time_minutes,train/eps,train/length,train/loss,train/rots_vf_loss,"train/rots_vf_loss t=[0.00,0.25)","train/rots_vf_loss t=[0.25,0.50)","train/rots_vf_loss t=[0.50,0.75)","train/rots_vf_loss t=[0.75,1.00)",train/se3_vf_loss,"train/se3_vf_loss t=[0.00,0.25)","train/se3_vf_loss t=[0.25,0.50)","train/se3_vf_loss t=[0.50,0.75)","train/se3_vf_loss t=[0.75,1.00)",train/t,train/torsion_loss,"train/torsion_loss t=[0.00,0.25)","train/torsion_loss t=[0.25,0.50)","train/torsion_loss t=[0.50,0.75)","train/torsion_loss t=[0.75,1.00)",train/trans_loss,"train/trans_loss t=[0.00,0.25)","train/trans_loss t=[0.25,0.50)","train/trans_loss t=[0.50,0.75)","train/trans_loss t=[0.75,1.00)",valid/avg_c4_bond_dists,valid/c4_c4_deviation,valid/c4_c4_valid_percent,valid/num_c4_c4_clashes,valid/radius_of_gyration
0,49,2.7712433338165283,0.0,4.7375640869140625,5.40731954574585,4.292031764984131,7.0,3.0411481857299805,3.216928720474243,3.0107266902923584,3.3066725730895996,2.5119528770446777,1.535419225692749,1.3411672115325928,1.4775044918060303,1.8524378538131714,1.5097784996032715,,22.391714096069336,300.0,6.396895408630371,1.5761302709579468,1.5082095861434937,1.6045398712158203,1.6194764375686646,1.6346651315689087,3.625652313232422,3.696854591369629,3.6490426063537598,3.8636553287506104,3.2808446884155273,0.4542180597782135,0.3480636179447174,0.46647530794143677,0.2493332028388977,0.24820923805236816,0.2703005075454712,2.0495216846466064,2.188645124435425,2.0445027351379395,2.2441787719726562,1.646179437637329,,,,,
0,99,2.1908717155456543,0.0,2.557939052581787,2.6868536472320557,2.5521726608276367,7.0,1.752589464187622,2.504197359085083,1.667144775390625,1.7226215600967407,1.547674536705017,0.8746882081031799,1.0973758697509766,0.8169430494308472,0.8753410577774048,0.8788343667984009,,36.39909362792969,300.0,4.821432113647461,1.4454567432403564,1.521119475364685,1.3621947765350342,1.5626986026763916,1.5741486549377441,2.6305606365203857,3.2508761882781982,2.4912986755371094,2.746351718902588,2.598926067352295,0.46071794629096985,0.11183550208806992,0.2361166775226593,0.07385114580392838,0.08889099210500717,0.1256636083126068,1.1851038932800293,1.7297567129135132,1.1291038990020752,1.1836529970169067,1.0247772932052612,,,,,
0,149,1.31549870967865,0.0,2.1890270709991455,0.7906962037086487,1.8507130146026611,7.0,1.50264310836792,2.211507797241211,1.4442003965377808,0.4494399130344391,1.313443899154663,0.7378706336021423,1.1205285787582397,0.706326961517334,0.3098253905773163,0.4952309727668762,,22.11444091796875,300.0,3.88100004196167,1.5420525074005127,1.9469869136810303,1.359179973602295,1.2257297039031982,1.5971235036849976,2.5655014514923096,3.450413703918457,2.3540871143341064,1.5329105854034424,2.462510108947754,0.39973384141921997,0.07411783188581467,0.1649283766746521,0.03849966451525688,0.03143089637160301,0.042038220912218094,1.0234489440917969,1.5034267902374268,0.9949072003364563,0.30718091130256653,0.8653864860534668,,,,,
0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.865462779998779,1.748092532157898,0.6074534058570862,0.23602484166622162,9.438800811767578
0,160,,,,,,,,,,,,,,,,,2.5208535194396973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,0.7070350050926208,0.0,1.2146241664886475,0.9647977352142334,0.7775993347167969,7.0,0.8616502285003662,1.3881880044937134,0.8128509521484375,0.7268407940864563,0.4513164162635803,0.4537128210067749,0.8154935836791992,0.37432461977005005,0.209125816822052,0.2936136722564697,,22.110628128051758,300.0,2.3577373027801514,1.0694732666015625,1.2492866516113281,1.1334290504455566,1.20720374584198,0.7568389177322388,1.6507023572921753,2.192460060119629,1.67915678024292,1.6942564249038696,1.0587133169174194,0.5077279210090637,0.045607347041368484,0.0850922018289566,0.02744867652654648,0.028831128031015396,0.03266926109790802,0.5812290906906128,0.9431734085083008,0.5457277297973633,0.48705267906188965,0.30187439918518066,,,,,
1,249,0.8573506474494934,0.0,1.0102163553237915,0.9562518000602722,1.00874662399292,7.0,0.7180576920509338,1.252364158630371,0.6589239835739136,0.6202766299247742,0.6237096786499023,0.3907763361930847,0.6510188579559326,0.33309227228164673,0.31990307569503784,0.35785502195358276,,35.941612243652344,300.0,2.309019088745117,0.9755252003669739,1.4416159391403198,1.0944396257400513,0.9470231533050537,0.8363993167877197,1.451668381690979,2.286858558654785,1.539025068283081,1.3538386821746826,1.2454891204833984,0.6521660089492798,0.0393245667219162,0.13227234780788422,0.018200097605586052,0.016072090715169907,0.027181856334209442,0.4761432409286499,0.8452427387237549,0.4445854723453522,0.40681546926498413,0.40908974409103394,,,,,
1,299,0.9778911471366882,0.0,1.8507285118103027,0.7859452366828918,0.6897077560424805,7.0,0.8166297674179077,1.064024567604065,1.1532484292984009,0.5864717960357666,0.47747236490249634,0.4245617985725403,0.8780215978622437,0.676207423210144,0.1853739470243454,0.20154935121536255,,22.306262969970703,300.0,2.635200023651123,1.1050900220870972,1.056646466255188,1.2963669300079346,1.0215623378753662,1.0174016952514648,1.6573089361190796,1.7744700908660889,2.09578275680542,1.40878164768219,1.3447654247283936,0.42795783281326294,0.03468255326151848,0.1438344419002533,0.02127273567020893,0.014099487103521824,0.010686091147363186,0.5522189140319824,0.7178236246109009,0.7994157075881958,0.38721930980682373,0.3273637294769287,,,,,
1,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.619963645935059,1.6018812656402588,0.9093167185783386,0.26708075404167175,10.526143074035645
1,321,,,,,,,,,,,,,,,,,2.5223183631896973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
